,eta,momentum,tree,nquad,vegas,error
57,0.6866640036563988,11.494926891581102,2.746303970550141e-16,,5.88e-14, -0.04e-14
58,0.6866640036563988,16.952084600117107,6.981945439267797e-21,,1.59e-17, -0.12e-17
59,0.6866640036563988,25.0,8.211838099178173e-28,,1.977e-24, -0.034e-24
60,0.745518744062988,0.00032,35.602895376489236,,-1.78e-06, -0.06e-06
61,0.745518744062988,0.0004719183621785804,51.766851216872155,,-5.65e-06, -0.13e-06
62,0.745518744062988,0.0006959591892541056,75.22232199237429,,-1.86e-05, -0.04e-05
63,0.745518744062988,0.0010263622522997833,109.16154670239655,,-6.05e-05, -0.13e-05
64,0.745518744062988,0.0015136224784601019,157.9750635827492,,-0.000186, -0.000004
65,0.745518744062988,0.0022322070030986714,227.2914183683043,,-0.000564, -0.000014
66,0.745518744062988,0.0032919358529558827,323.1013877074891,,-0.00180, -0.00004
67,0.745518744062988,0.004854765550387154,448.198986484146,,-0.00512, -0.00013
68,0.745518744062988,0.007159540647811568,593.0278856529228,,-0.0149, -0.0004
69,0.745518744062988,0.0105584959264569,721.9706711708556,,-0.0372, -0.0010
70,0.745518744062988,0.015571087827133602,775.2804991532302,,-0.0799, -0.0024
71,0.745518744062988,0.022963382077249142,715.1011556126398,,-0.137, -0.005
72,0.745518744062988,0.03386513018742619,570.5488889232591,,-0.200, -0.007
73,0.745518744062988,0.04994242741567057,405.48920133284867,,-0.201, -0.011
74,0.745518744062988,0.0736523392163309,263.6318180001217,,-0.071, -0.016
75,0.745518744062988,0.1086184102924754,158.73089241807713,,0.089, -0.022
76,0.745518744062988,0.16018444464895643,88.58976421314597,,0.257, -0.024
77,0.745518744062988,0.23623118989131572,45.75244098108932,,0.606, -0.023
78,0.745518744062988,0.3483807382156467,21.92828139477919,,0.604, -0.026
79,0.745518744062988,0.5137727106040398,9.847307335267143,,0.506, -0.026
80,0.745518744062988,0.7576836753759633,4.190556033359681,,0.331, -0.022
81,0.745518744062988,1.1173901222902258,1.6507777269157418,,0.350, -0.017
82,0.745518744062988,1.647865363830397,0.3475875983313162,,0.252, -0.007
83,0.745518744062988,2.430181011217661,0.0003459734441939741,,0.0441, -0.0005
84,0.745518744062988,3.58389700816039,6.790510401348716e-06,,0.000344, -0.000005
85,0.745518744062988,5.285333769711768,5.118629844576934e-09,,1.143e-07, -0.035e-07
86,0.745518744062988,7.7945189255297604,4.823142511864639e-13,,1.429e-10, -0.015e-10
