	momentum	tree	fdm_pt	cdm_pt	absdiff	reldiff
62	0.572236765935022		404.4574142917988		(1.70+/-0.06)e+03		1828+/-9	(1.2+/-0.6)e+02	0.07+/-0.04
63	0.6579332246575682		297.81144902588716		(1.60+/-0.05)e+03		1673+/-9	(7+/-5)e+01	0.05+/-0.04
64	0.7564633275546291		217.8432269308372		(1.48+/-0.05)e+03		1499+/-6	(2+/-5)e+01	0.013+/-0.035
65	0.8697490026177834		158.0933900898484		(1.22+/-0.05)e+03		1331+/-5	(1.2+/-0.5)e+02	0.10+/-0.04
66	1.0	113.31996283199507	(1.16+/-0.04)e+03		1171+/-4	(1+/-4)e+01	0.01+/-0.04
67	1.1497569953977356		79.20043352867837		(8.9+/-0.4)e+02	1013.6+/-3.4	(1.2+/-0.4)e+02	0.13+/-0.05
68	1.3219411484660286		52.09300375516967		869+/-35	865.1+/-2.7	4+/-35	0.00+/-0.04
69	1.5199110829529332		29.324183693236083		751+/-24	769.1+/-2.0	18+/-24	0.024+/-0.033
70	1.747528400007683		11.130924503993482		685+/-15	714.3+/-2.1	30+/-15	0.043+/-0.023
71	2.009233002565046		1.6374234187115992		506+/-5	516.6+/-1.2	11+/-5	0.022+/-0.011
72	2.310129700083158		0.0024704779651828594	214.2+/-1.3	217.0+/-0.6	2.8+/-1.4	0.013+/-0.007
73	2.6560877829466896		0.049029087710286995	63.0+/-0.9	63.40+/-0.25	0.4+/-0.9	0.007+/-0.015
74	3.0538555088334185		0.008201693466406323	15.41+/-0.19	15.84+/-0.07	0.43+/-0.20	0.028+/-0.013
75	3.5111917342151346		0.0002600582910108036	1.701+/-0.024	1.712+/-0.007	0.011+/-0.025	0.007+/-0.015
76	4.037017258596558		3.899013809849911e-06	0.1447+/-0.0013	0.1465+/-0.0006	0.0019+/-0.0014	0.013+/-0.010
77	4.641588833612782		4.269846551209438e-06	0.00843+/-0.00013	0.00860+/-0.00007	0.00017+/-0.00015	0.020+/-0.018
78	5.336699231206313		3.4124346284853e-07	0.000149+/-0.000008	0.0002179+/-0.0000029	(6.9+/-0.8)e-05	0.46+/-0.08
79	6.135907273413176		2.5114210125538766e-08	(-7+/-5)e-07	(-1.15+/-0.19)e-06	(5+/-6)e-07	-0.7+/-1.3
80	7.054802310718645		1.2204030488273248e-09	(2.97+/-0.29)e-07	(3.29+/-0.12)e-07	(3.2+/-3.1)e-08	0.11+/-0.11
81	8.111308307896872		1.4965191304667204e-10	(-1.73+/-0.04)e-07	(-1.840+/-0.013)e-07	(1.1+/-0.4)e-08	-0.065+/-0.026
82	9.326033468832199		9.081703379603189e-12	(-1.199+/-0.032)e-08	(-1.144+/-0.010)e-08	(5.6+/-3.4)e-10	-0.046+/-0.027
83	10.722672220103231		8.527384066328316e-14	(2.472+/-0.017)e-09	(2.529+/-0.012)e-09	(5.7+/-2.1)e-11	0.023+/-0.009
84	12.32846739442066		2.613255945478419e-15	(2.788+/-0.017)e-10	(2.915+/-0.017)e-10	(1.27+/-0.24)e-11	0.046+/-0.009
85	14.174741629268048		3.389837452301363e-15	(-9.33+/-0.26)e-12	(-9.84+/-0.09)e-12	(5.1+/-2.8)e-13	-0.055+/-0.031
86	16.297508346206435		3.3060499983345753e-16	(-2.320+/-0.033)e-12	(-2.741+/-0.016)e-12	(4.2+/-0.4)e-13	-0.182+/-0.018
87	18.73817422860383		6.885092232562267e-18	(5.61+/-0.10)e-14	(9.20+/-0.09)e-14	(3.60+/-0.14)e-14	0.641+/-0.034
88	21.544346900318867		4.408765757338478e-20	(7.39+/-0.05)e-15	(2.659+/-0.016)e-14	(1.920+/-0.017)e-14	2.598+/-0.033
89	24.77076355991714		3.3143162954327794e-21	(6.68+/-0.10)e-17	(1.088+/-0.008)e-15	(1.021+/-0.008)e-15	15.28+/-0.26
