,momentum,tree,nquad,vegas
69,1.5199110829529332,29.324183695362425,,781+/-25
70,1.747528400007683,11.130924506827442,,685+/-15
71,2.009233002565046,1.637423420175387,,507+/-5
72,2.310129700083158,0.0024704779729373388,,212.6+/-1.3
73,2.6560877829466896,0.04902908825064306,,59.9+/-0.8
74,3.0538555088334185,0.008201693783789786,,15.16+/-0.19
75,3.5111917342151346,0.00026005832634587846,,1.684+/-0.027
76,4.037017258596558,3.899015669985762e-06,,0.1444+/-0.0010
77,4.641588833612782,4.269853703692103e-06,,0.00817+/-0.00018
78,5.336699231206313,3.4124546992455705e-07,,0.000212+/-0.000010
79,6.135907273413176,2.5114728776189344e-08,,(-6+/-5)e-07
80,7.054802310718645,1.2204915436900172e-09,,(2.67+/-0.30)e-07
81,8.111308307896872,1.4969001686885398e-10,,(-1.73+/-0.04)e-07
82,9.326033468832199,9.089823596406851e-12,,(-1.132+/-0.032)e-08
83,10.722672220103231,8.554168315458284e-14,,(2.468+/-0.017)e-09
84,12.32846739442066,2.6421249559528303e-15,,(2.810+/-0.019)e-10
85,14.174741629268048,3.5220997225496957e-15,,(-9.92+/-0.27)e-12
86,16.297508346206435,3.7681997991968245e-16,,(-2.66+/-0.04)e-12
87,18.73817422860383,1.0493607726385356e-17,,(8.47+/-0.15)e-14
88,21.544346900318867,1.4131188573320703e-19,,(2.347+/-0.016)e-14
89,24.77076355991714,3.9008879273010045e-20,,(7.34+/-0.10)e-16
90,28.48035868435805,4.1361309324269966e-21,,(-8.50+/-0.13)e-17
91,32.745491628777316,2.6863207298635232e-24,,(2.232+/-0.017)e-18
92,37.649358067924716,6.731024127610037e-25,,(1.4+/-0.4)e-18
93,43.287612810830616,7.689491348073258e-28,,(1.998+/-0.018)e-22
94,49.770235643321136,3.458851028734057e-29,,(-2.30+/-0.04)e-24
95,57.223676593502205,6.037015394438185e-32,,(8.65+/-0.12)e-27
96,65.79332246575683,1.329454351633667e-33,,(-1.592+/-0.022)e-28
97,75.64633275546291,8.050354565527032e-36,,(-1.231+/-0.017)e-30
98,86.97490026177834,6.917027914189508e-40,,(1.010+/-0.011)e-32
99,100.0,5.149599617617527e-43,,(8.45+/-0.07)e-35
